Region/Country,Second Tier Authority,Local Authority,Local Authority Code,Calendar Year,Industry Electricity,Industry Gas ,Large Industrial Installations,Industry 'Other',Industry Total,Commercial Electricity,Commercial Gas ,Commercial 'Other',Commercial Total,Public Sector Electricity,Public Sector Gas ,Public Sector 'Other',Public Sector Total,Domestic Electricity,Domestic Gas,Domestic 'Other',Domestic Total,Road Transport (A roads),Road Transport (Motorways),Road Transport (Minor roads),Diesel Railways,Transport 'Other',Transport Total,Net Emissions: Forest land,Net Emissions: Cropland,Net Emissions: Grassland,Net Emissions: Wetlands,Net Emissions: Settlements,Net Emissions: Harvested Wood Products,Net Emissions: Indirect N2O,LULUCF Net Emissions,Agriculture Electricity,Agriculture Gas,Agriculture 'Other',Agriculture Livestock,Agriculture Soils,Agriculture Total,Landfill,Waste Management 'Other',Waste Management Total,Grand Total,"Population ('000s, mid-year estimate)",Per Capita Emissions (tCO2e),Area (km2),Emissions per km2 (kt CO2e)
Scotland,Scotland,Aberdeen City,S12000033,2019,36.705610227935466,29.876282118499887,71.08778732392656,80.1507412459604,217.82042091632232,86.98937638978569,66.6215923191989,0.8819692351971761,154.49293794418176,23.274611129716007,78.10153470016503,1.0768651299359722,102.45301095981701,80.62924259052896,264.3938329669288,9.094724840419515,354.1178003978773,168.04561978270775,0.0,164.67495425985754,2.8271626466628206,27.448429665885737,362.99616635511387,-14.740647404431575,31.456174274211296,-18.456407639134785,-0.0009355706002964204,5.530857745930731,0.0,0.3936838279876438,4.182725233963016,4.411465145635951,0.7114352899302457,3.184866203588192,14.098376199824136,6.166446861331483,28.572589700310008,20.637738091407712,14.97912771283329,35.616865804241,1260.2525173118265,228.67,5.511228046144342,205.6013,6.129594109141462
Scotland,Scotland,Aberdeen City,S12000033,2020,28.90970685998068,26.999655420499856,54.86519398207905,77.81589797438205,188.59045423694164,62.13021235665508,57.41733622857265,0.5003844414076374,120.04793302663536,18.07711113286675,86.58913188466195,0.7818585271527803,105.44810154468148,75.02522368611592,248.82039702879982,9.280824463229301,333.12644517814505,119.90706904531545,0.0,139.47993326421653,2.1468724436319193,25.904696462363965,287.4385712155279,-14.555902037419669,31.44329266671026,-18.571500763450338,-0.0009355706002964204,5.497117809035583,0.0,0.39603019602060746,4.208102300296149,2.4889301579614735,0.6284616556664939,3.174293479058959,13.91571965563611,5.105271074030312,25.31267602235335,17.68239112617667,14.861443121477787,32.54383424765446,1096.7161177722353,229.06,4.787898881394549,205.6013,5.3341886348589975
Scotland,Scotland,Aberdeenshire,S12000034,2005,136.3238498926359,39.01446573110124,2.9717394730011497,136.72547090712212,315.0355260038604,165.35606283385187,19.86577825093622,2.210661554012639,187.4325026388007,38.6233483600872,10.321500096599333,5.3833769541703855,54.328225410856916,354.2392898594055,216.52000811792416,210.48001323420914,781.2393112115387,397.24472359627237,0.0,244.6155286169496,11.109241604908975,3.239837274605735,656.2093310927368,-403.2785385471534,793.466188876429,-238.89915517108477,32.25091313854824,121.0089990223382,0.0,11.396133314282771,315.94454063336,39.19998668825613,1.2269957025698826,101.75273205292905,[x],[x],[x],[x],13.034443741335142,[x],[x],237.57,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2006,142.35708786145617,42.43648017413196,157.56264510760073,125.32276459670584,467.67897773989466,172.6741695147409,21.60823399966526,1.8276639174662954,196.11006743187244,40.332688669890445,11.22681359359154,4.288210118265605,55.84771238174759,366.297661811775,220.19465401390778,219.0500661652961,805.5423819909789,434.2620673209638,0.0,263.57386074530524,11.03120658409413,3.6257851654457345,712.4929198158089,-409.5001935921595,777.7594829146695,-245.48250530276388,34.718356671050415,107.56237047108354,0.0,10.931600271425157,275.9891114333053,40.934847083198726,1.3346172459397205,96.21104572521875,[x],[x],[x],[x],14.59034132283529,[x],[x],241.18,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2007,148.3629699988834,37.83305558298203,154.87826149552393,124.05867050168114,465.1329575790705,179.95909452875182,19.264215943567937,1.6599708760534553,200.8832813483732,42.03427851045149,10.008951283500625,4.290659947843958,56.33388974179608,369.79789351772223,213.81924789651862,194.25459241707037,777.8717338313113,395.281256399469,0.0,276.81409144257674,11.723107821618106,3.3484273627324517,687.1668830263962,-406.03095489979125,762.6477593408135,-238.82965845234412,27.411135383908565,108.84483866800818,0.0,10.542467236552419,264.58558727714734,42.661841296051435,1.189840633352591,91.36645728090893,[x],[x],[x],[x],15.497590948162864,[x],[x],244.39,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2008,151.01554962685552,38.74476496822718,137.12012358284855,105.57725670189278,432.45769487982403,183.1765808598684,19.7284493025843,1.7184064369781356,204.62343659943085,42.78580883405021,10.250149216921942,3.9940141023437996,57.029972153315946,356.9270426389558,222.0770474048305,206.91525308298677,785.919343126773,367.5490910412825,0.0,275.80587456266045,11.781121058280162,3.435899272281578,658.5719859345047,-429.35352020568064,759.0772955039128,-249.1959477196816,27.79129101013183,109.36770979926776,0.0,10.23443931343328,227.92126770138336,43.42459180660361,1.2185136774844412,89.61128413744538,[x],[x],[x],[x],14.752739651368199,[x],[x],246.84,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2009,132.17586024166397,40.078301252766245,37.77445145100356,101.36282403111558,311.39143697654936,160.32469643757946,20.40747272689104,2.409207456772027,183.14137662124253,37.4481376437694,10.602943869668303,3.7395341327189016,51.7906156461566,325.32806700089736,204.1668182890098,203.09203092718712,732.5869162170943,385.2072770958762,0.0,257.1564174136571,11.822108661774097,3.303426602694147,657.4892297740015,-439.8213741582693,747.8943308060476,-247.70661996451105,30.044489565404355,109.04356933596745,0.0,9.86138320398977,209.31577878862882,38.00723032736121,1.260453077645087,90.76162233036075,[x],[x],[x],[x],15.12427456215325,[x],[x],249.02,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2010,136.57889750760384,39.219627060270625,1.3576080467713199,110.6520570416238,287.80818965626963,165.6654266720905,19.97024436099491,1.3552197851620718,186.99089081824746,38.69560859106714,10.375776699883742,3.6605884841239438,52.73197377507483,335.4971584792663,231.103614459038,231.95977484938425,798.5605477876886,384.65591646480175,0.0,254.48962486693316,11.883500878985739,3.33613024890929,654.3651724596299,-428.95839717333286,730.9037009674712,-252.07481528222783,24.88979856010882,113.2395077336734,0.0,9.490585266237343,197.49038007193005,39.273325749025666,1.233447977758254,91.78964995340834,[x],[x],[x],[x],15.536997427033588,[x],[x],251.43,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2011,112.69552557315642,38.77023012433638,1.3292857749056377,94.17622861934552,246.97127009174395,136.69573168924603,19.741415907019622,1.4564713485025895,157.89361894476824,31.928958478381883,10.256886169647442,4.194854584269185,46.38069923229851,315.61739111097603,196.49548738340056,182.0155047034032,694.1283831977797,352.27620808586727,0.0,241.6827361174326,11.539452877006715,3.0654459995061627,608.5638430798128,-415.6715223038816,718.0064641396417,-274.6822002330873,24.37191301230428,113.35543981603341,0.0,9.309587167721352,174.68968159873185,32.4056509977745,1.2193145506099794,93.01070863805222,[x],[x],[x],[x],16.215996869399813,[x],[x],253.65,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2012,128.8284516113344,40.607849126098316,1.3082366511683032,88.15348939368259,258.8980267822836,156.26440682396247,20.677113241703566,1.1668465447605287,178.10836661042657,36.49974798389254,10.743038788907292,3.387822384281433,50.63060915708127,335.81143583269375,216.69610423200726,183.41575967562687,735.9232997403279,359.6736097076964,0.0,229.37921725867116,11.650285800358306,2.993571943123672,603.6966847098496,-412.39547430629926,710.2504111623067,-278.9476387985615,23.804671053728388,111.41524398235386,0.0,9.14289828672221,163.27011138025037,37.044681412755175,1.277107232782357,95.03941689327499,[x],[x],[x],[x],16.318733916754717,[x],[x],255.56,[x],6338.1488,[x]
